Country,Language
Afghanistan,Pashto
Albania,Albanian
Germany,German
Andorra,Catalan
Angola,Portuguese
Antigua and Barbuda,English
Saudi Arabia,Arabic
Algeria,Arabic
Argentina,Spanish
Armenia,Armenian
Australia,English
Austria,German
Azerbaijan,Azerbaijani
Bahamas,English
Bangladesh,Bengali
Barbados,English
Bahrain,Arabic
Belgium,Dutch
Belize,English
Benin,French
Belarus,Belarusian
Myanmar,Burmese
Bolivia,Spanish
Bosnia and Herzegovina,Bosnian
Botswana,Tswana
Brazil,Portuguese
Brunei,Malay
Bulgaria,Bulgarian
Burkina Faso,French
Burundi,Kirundi
Bhutan,Dzongkha
Cabo Verde,Portuguese
Cambodia,Khmer
Cameroon,French
Canada,English
Qatar,Arabic
Chad,Arabic
Chile,Spanish
China,Mandarin
Cyprus,Greek
Vatican City,Italian
Colombia,Spanish
Comoros,Arabic
North Korea,Korean
South Korea,Korean
Ivory Coast,French
Costa Rica,Spanish
Croatia,Croatian
Cuba,Spanish
Denmark,Danish
Dominica,English
Ecuador,Spanish
Egypt,Arabic
El Salvador,Spanish
United Arab Emirates,Arabic
Eritrea,Tigrinya
Slovakia,Slovak
Slovenia,Slovenian
Spain,Spanish
United States of America,English
Estonia,Estonian
Ethiopia,Amharic
Philippines,Filipino
Finland,Finnish
Fiji,Fijian
France,French
Gabon,French
Gambia,Mandingo
Georgia,Georgian
Ghana,English
Grenada,English
Greece,Greek
Guatemala,Spanish
Guinea,French
Equatorial Guinea,French
Guinea-Bissau,Portuguese
Guyana,English
Haiti,French
Honduras,Spanish
Hungary,Hungarian
India,Hindi
Indonesia,Indonesian
Iraq,Arabic
Iran,Persian
Ireland,English
Iceland,Icelandic
Marshall Islands,English
Solomon Islands,English
Israel,Hebrew
Italy,Italian
Jamaica,English
Japan,Japanese
Jordan,Arabic
Kazakhstan,Kazakh
Kenya,Swahili
Kyrgyzstan,Kyrgyz
Kiribati,Kiribati
Kuwait,Arabic
Laos,Lao
Lesotho,Sotho
Latvia,Latvian
Lebanon,Arabic
Liberia,English
Libya,Arabic
Liechtenstein,German
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Madagascar,Malagasy
Malaysia,Malay
Malawi,Chewa
Maldives,Dhivehi
Mali,French
Malta,Maltese
Morocco,Arabic
Mauritius,French
Mauritania,Arabic
Mexico,Spanish
Micronesia,English
Moldova,Romanian
Monaco,French
Mongolia,Mongolian
Montenegro,Montenegrin
Mozambique,Portuguese
Namibia,English
Nauru,Nauruan
Nepal,Nepali
Nicaragua,Spanish
Niger,French
Nigeria,Hausa
Norway,Norwegian
New Zealand,English
Oman,Arabic
Netherlands,Dutch
Pakistan,Punjabi
Palau,Palauan
Panama,Spanish
Papua New Guinea,English
Paraguay,Spanish
Peru,Spanish
Poland,Polish
Portugal,Portuguese
United Kingdom,English
Central African Republic,French
Czech Republic,Czech
Congo,French
Democratic Republic of the Congo,Swahili
Dominican Republic,Spanish
Rwanda,Kinyarwanda
Romania,Romanian
Russia,Russian
Samoa,Samoan
Saint Kitts and Nevis,English
San Marino,Italian
Saint Vincent and the Grenadines,English
Saint Lucia,English
São Tomé and Príncipe,Portuguese
Senegal,French
Serbia,Serbian
Seychelles,French
Sierra Leone,English
Singapore,Malay
Syria,Arabic
Somalia,Somali
Sri Lanka,Sinhalese
Swaziland,Swazi
South Africa,Zulu
Sudan,Arabic
South Sudan,English
Sweden,Swedish
Switzerland,German
Suriname,Dutch
Thailand,Thai
Tanzania,Swahili
Tajikistan,Tajik
East Timor,Tetum
Togo,French
Tonga,Tongan
Trinidad and Tobago,English
Tunisia,Arabic
Turkmenistan,Turkmen
Turkey,Turkish
Tuvalu,Tuvaluan
Ukraine,Ukrainian
Uganda,English
Uruguay,Spanish
Uzbekistan,Uzbek
Vanuatu,Bislama
Venezuela,Spanish
Vietnam,Vietnamese
Yemen,Arabic
Djibouti,Arabic
Zambia,English
Zimbabwe,English
